"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.964698333E-1,4.215234375E-1,6.787185974E0,7.062463531E0,9.804181077E0
9.064508333E-1,-3.294648743E0,6.034401398E0,8.173902283E0,1.068088897E1
9.164318333E-1,-4.905000000E0,4.813091125E0,9.238338776E0,1.151398170E1
9.264128333E-1,-3.795507202E0,3.296594696E0,1.155432266E1,1.260062632E1
9.363938333E-1,-1.880689087E0,2.505489807E0,1.412058609E1,1.446393522E1
9.463758333E-1,1.278191986E0,2.223925323E0,1.218915253E1,1.245612532E1
9.563568333E-1,2.592159576E0,2.494562531E0,1.077399536E1,1.135874595E1
9.663378333E-1,3.141217804E0,3.033741302E0,9.004974060E0,1.000801646E1
9.763188333E-1,3.533402252E0,3.743565216E0,7.506739655E0,9.102216886E0
9.862998333E-1,4.110901337E0,3.902085571E0,7.943980408E0,9.758719502E0
9.962808333E-1,4.623285828E0,3.654500427E0,8.965456238E0,1.072891191E1
1.006261833E0,5.030738525E0,3.818409576E0,8.942703552E0,1.094808333E1
1.016242833E0,4.989424438E0,3.824097748E0,8.053253174E0,1.021630885E1
1.026223833E0,4.199517059E0,3.190615082E0,7.069648590E0,8.820198372E0
1.036204833E0,-3.532653809E-2,7.863148499E-1,3.587290192E0,3.672627115E0
1.046186833E0,-3.225941620E0,-2.029030609E0,4.495152283E0,5.893221410E0
1.056167833E0,1.237626343E0,-1.884131927E0,1.031130753E1,1.055484415E1
1.066148833E0,5.155279541E0,-1.528621216E0,1.354742798E1,1.457554098E1
1.076129833E0,5.503605194E0,-1.994153137E0,1.195369217E1,1.331003656E1
1.086110833E0,4.186793518E0,-3.583997040E0,8.666078796E0,1.027011180E1
1.096091833E0,2.383044434E0,-4.698279877E0,5.603447571E0,7.690992085E0
1.106072833E0,2.367925873E0,-4.434228973E0,3.373085632E0,6.053690297E0
1.116053833E0,2.791245575E0,-4.593198395E0,1.632056122E0,5.617128318E0
1.126034833E0,2.604883118E0,-6.019282837E0,4.333488464E-1,6.573049000E0
1.136016833E0,3.085533600E0,-7.772586823E0,1.740879822E-1,8.364444401E0
