"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.990587083E-1,-1.178312480E0,-3.812454772E-1,-4.137548633E-1,1.305741743E0
1.009070708E0,-1.102100163E0,-5.059174705E-1,-5.700977154E-1,1.339995769E0
1.019082708E0,-9.128803908E-1,-7.394681275E-1,-6.997761313E-1,1.367424716E0
1.029094708E0,-5.489482999E-1,-1.174247203E0,-8.039564842E-1,1.525302186E0
1.039106708E0,-3.588877711E-1,-1.496006032E0,-6.171332663E-1,1.657615138E0
1.049118708E0,-3.797272477E-1,-1.507897514E0,-5.422397894E-1,1.646806511E0
1.059130708E0,-3.266496592E-1,-1.507252566E0,-8.597097585E-1,1.765675839E0
1.069142708E0,-3.535545257E-1,-1.363642611E0,-1.239047216E0,1.876102336E0
1.079154708E0,-4.861155823E-1,-1.091274628E0,-1.235422527E0,1.718562624E0
1.089166708E0,-6.173309022E-1,-8.657305634E-1,-1.063682787E0,1.503997315E0
1.099178708E0,-6.601959631E-1,-6.284675092E-1,-9.733725411E-1,1.333523237E0
1.109190708E0,-5.756618893E-1,-2.682357556E-1,-1.057009360E0,1.233128468E0
1.119203708E0,-4.833141813E-1,1.084132254E-1,-1.167886602E0,1.268583911E0
1.129215708E0,-2.768261924E-1,2.792349529E-1,-1.199684345E0,1.262476704E0
1.139227708E0,2.045065502E-2,2.700062925E-1,-1.158175546E0,1.189408350E0
1.149239708E0,2.287559585E-1,1.479503435E-1,-1.075877740E0,1.109833998E0
1.159251708E0,2.381758229E-1,-9.724972129E-2,-9.454082322E-1,9.797866893E-1
1.169263708E0,2.088991065E-1,-3.818910098E-1,-7.762821972E-1,8.899964212E-1
1.179275708E0,1.294751886E-1,-5.531150258E-1,-4.901557159E-1,7.503017273E-1
1.189287708E0,5.268840143E-2,-4.486551028E-1,-4.699647321E-1,6.518698631E-1
1.199299708E0,2.517978071E-1,-2.697355664E-1,-5.342402867E-1,6.492858349E-1
1.209311708E0,5.109030989E-1,-2.119066036E-1,-4.657517767E-1,7.230844367E-1
1.219323708E0,5.492758171E-1,-2.906832165E-1,-3.373809079E-1,7.071255423E-1
1.229335708E0,4.917040952E-1,-4.737577844E-1,-2.269427552E-1,7.195292695E-1
1.239347708E0,2.238384684E-1,-5.680605090E-1,-1.924997314E-1,6.401972730E-1
1.249359708E0,-2.033105753E-1,-5.299752545E-1,-2.942827990E-1,6.393835517E-1
1.259371708E0,-5.283242201E-1,-4.076064795E-1,-4.451626340E-1,8.021466789E-1
1.269384708E0,-5.450923535E-1,-3.327650428E-1,-6.765959412E-1,9.303979338E-1
1.279396708E0,-3.567449493E-1,-3.502564037E-1,-8.234377257E-1,9.633255915E-1
1.289408708E0,-2.156773999E-1,-4.115609515E-1,-8.658276272E-1,9.826274154E-1
1.299420708E0,-9.619572412E-2,-5.243490636E-1,-8.046394390E-1,9.652150976E-1
1.309432708E0,3.310254961E-2,-6.157661873E-1,-8.372920454E-1,1.039866215E0
1.319444708E0,1.520524942E-1,-5.376392001E-1,-9.177427161E-1,1.074442908E0
1.329456708E0,3.605911381E-1,-2.634392846E-1,-8.161566997E-1,9.303429389E-1
1.339468708E0,6.141412461E-1,-6.100049257E-2,-6.380902719E-1,8.877216486E-1
1.349480708E0,7.841595662E-1,2.953837931E-2,-4.282565429E-1,8.939700261E-1
1.359492708E0,9.047835320E-1,8.759830713E-2,-9.731933970E-2,9.142088148E-1
1.369504708E0,9.549875063E-1,2.705565155E-2,-3.757778920E-2,9.561094267E-1
